"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"885",11433,"Acp5","MedConf","Yes","Osteoclast differentiation",NA,NA
"898",216739,"Acsl6","MedConf","Yes","PPAR signaling pathway, Adipocytokine signaling pathway","Cpt1a, Pnpla2","Glucagon signaling pathway (1), Adipocytokine signaling pathway (1), Insulin resistance (1), PPAR signaling pathway (1), AMPK signaling pathway (1), Regulation of lipolysis in adipocytes (1)"
"1035",72674,"Adipor1","MedConf","Yes","AMPK signaling pathway, Longevity regulating pathway, Adipocytokine signaling pathway",NA,NA
"1051",11548,"Adra1b","HighConf","Yes","cGMP-PKG signaling pathway, Vascular smooth muscle contraction, Adrenergic signaling in cardiomyocytes","Cysltr1, Xcl1, Prok2, Npff, Lpar3, Tbxa2r, Pik3ca, Avpr1b, Cckbr","Rap1 signaling pathway (2), PI3K-Akt signaling pathway (2), Platelet activation (2), Longevity regulating pathway (2), Thyroid hormone signaling pathway (1), Cholinergic synapse (1), Aldosterone-regulated sodium reabsorption (1), Natural killer cell mediated cytotoxicity (1), HIF-1 signaling pathway (1), Neurotrophin signaling pathway (1), Ras signaling pathway (1), TNF signaling pathway (1), Progesterone-mediated oocyte maturation (1), Regulation of lipolysis in adipocytes (1), Focal adhesion (1), AGE-RAGE signaling pathway in diabetic complications (1), Fc epsilon RI signaling pathway (1), FoxO signaling pathway (1), Longevity regulating pathway - multiple species (1), VEGF signaling pathway (1), mTOR signaling pathway (1), Relaxin signaling pathway (1), Estrogen signaling pathway (1), Insulin resistance (1), Toll-like receptor signaling pathway (1), AMPK signaling pathway (1), Osteoclast differentiation (1), Vascular smooth muscle contraction (1), Cytokine-cytokine receptor interaction (1)"
"1054",11552,"Adra2b","MedConf","Yes","cGMP-PKG signaling pathway","Lpar3, Gal, Chrm4, C3, Cxcr4, Ppbp, Tas2r113","Cytokine-cytokine receptor interaction (2), Cholinergic synapse (1), Rap1 signaling pathway (1), PI3K-Akt signaling pathway (1)"
"1171",68870,"Ak8","MedConf","Yes","Purine metabolism","Nme4, Nme3, Nme6","Purine metabolism (3), Pyrimidine metabolism (3)"
"1233",11674,"Aldoa","HighConf","Yes","HIF-1 signaling pathway","Vegfb, Ppbp, Serpina1d, G6pdx, Vegfa","Cytokine-cytokine receptor interaction (3), Rap1 signaling pathway (2), Ras signaling pathway (2), Focal adhesion (2), AGE-RAGE signaling pathway in diabetic complications (2), Relaxin signaling pathway (2), PI3K-Akt signaling pathway (2), HIF-1 signaling pathway (1), VEGF signaling pathway (1)"
"1253",94041,"Allc","MedConf","Yes","Purine metabolism",NA,NA
"1254",236266,"Alms1","MedConf","Yes",NA,"Cep250, Plk1, Pcnt, Prkaca","Progesterone-mediated oocyte maturation (2), Longevity regulating pathway (2), FoxO signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), Platelet activation (1), Thyroid hormone signaling pathway (1), Cholinergic synapse (1), Oxytocin signaling pathway (1), Glucagon signaling pathway (1), Ras signaling pathway (1), Vascular smooth muscle contraction (1), MAPK signaling pathway (1), Vasopressin-regulated water reabsorption (1), Regulation of lipolysis in adipocytes (1), Longevity regulating pathway - multiple species (1), Relaxin signaling pathway (1), Estrogen signaling pathway (1)"
"1525",106952,"Arap3","MedConf","Yes","Rap1 signaling pathway","Arhgdig, Arhgef7","Neurotrophin signaling pathway (1), Vasopressin-regulated water reabsorption (1)"
