"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"152",48,"ACO1","MedConf","Yes","Carbon metabolism, Biosynthesis of amino acids, Citrate cycle (TCA cycle)","IDH2","Biosynthesis of amino acids (1), Carbon metabolism (1), Citrate cycle (TCA cycle) (1)"
"153",50,"ACO2","MedConf","Yes","Carbon metabolism, Biosynthesis of amino acids, Citrate cycle (TCA cycle)","IDH2","Biosynthesis of amino acids (1), Carbon metabolism (1), Citrate cycle (TCA cycle) (1)"
"191",84532,"ACSS1","MedConf","Yes","Carbon metabolism, Glycolysis / Gluconeogenesis",NA,NA
"210",81,"ACTN4","MedConf","Yes",NA,"UBE2I, ALDOA, RAC1, CSK, PIP5K1B, HRG, PSMA6, PIK3CA","Progesterone-mediated oocyte maturation (1), Proteasome (1), Pentose phosphate pathway (1), Glycolysis / Gluconeogenesis (1), Biosynthesis of amino acids (1), Carbon metabolism (1), Ubiquitin mediated proteolysis (1), RNA transport (1)"
"388",79814,"AGMAT","MedConf","Yes",NA,"SF3B5","Spliceosome (1)"
"446",102157402,"AK6","HighConf","Yes","Ribosome biogenesis in eukaryotes, Purine metabolism",NA,NA
"447",122481,"AK7","MedConf","Yes","Purine metabolism",NA,NA
"493",5832,"ALDH18A1","HighConf","Yes","Biosynthesis of amino acids","TIMM13, CAD, CKS1B","Pyrimidine metabolism (1)"
"511",226,"ALDOA","MedConf","Yes","Carbon metabolism, Biosynthesis of amino acids, Glycolysis / Gluconeogenesis, Pentose phosphate pathway","PGAM1, PFKP, GPI, ENO3, HRG, TKTL2, GAPDH, ACTN4","Carbon metabolism (6), Glycolysis / Gluconeogenesis (5), Biosynthesis of amino acids (5), Pentose phosphate pathway (3), RNA degradation (2)"
"537",55821,"ALLC","MedConf","Yes","Purine metabolism",NA,NA
"604",29882,"ANAPC2","MedConf","Yes","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Progesterone-mediated oocyte maturation","AURKB, ANAPC5, PSMD7, PSMD10, CDC20, PSMD12, PSMB4, MAD2L1, PSMA6, PLK1, BUB3, PSMA4, PSMC1, CDC23, CDC16, PSMB7, PTTG1, PSMD14","Cell cycle (8), Proteasome (8), Oocyte meiosis (7), Progesterone-mediated oocyte maturation (5), Ubiquitin mediated proteolysis (4)"
"606",51433,"ANAPC5","MedConf","Yes","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Progesterone-mediated oocyte maturation","PLK1, PSMC1, PSMD12, BUB3, CDC20, AURKB, CDC16, ANAPC2, PSMA6, PSMD7, PSMA4, PSMD10, MAD2L1, PSMB4, PSMD14, CDC23, PTTG1, PSMB7","Cell cycle (8), Proteasome (8), Oocyte meiosis (7), Progesterone-mediated oocyte maturation (5), Ubiquitin mediated proteolysis (4)"
"777",27301,"APEX2","MedConf","Yes","Base excision repair","PCNA, DUT, PNKP","Pyrimidine metabolism (1), Base excision repair (1), Mismatch repair (1), DNA replication (1), Cell cycle (1), Nucleotide excision repair (1)"
"1158",476,"ATP1A1","MedConf","Yes",NA,"ATP1B3, PRKACA","Progesterone-mediated oocyte maturation (1), Oocyte meiosis (1)"
"1164",483,"ATP1B3","MedConf","Yes",NA,"ATP1A1, PRKACA","Progesterone-mediated oocyte maturation (1), Oocyte meiosis (1)"
"1256",9212,"AURKB","MedConf","Yes",NA,"ITGB3BP, SPC24, KIF23, RANGAP1, CDCA8, CENPI, ANAPC5, SPDL1, PSMA4, PSMD7, PSMC1, MAD2L1, CDC16, NPM1, PTTG1, NCL, PSMD10, NUP85, PSMA6, SMC2, INCENP, PSMB7, CDC23, XPO1, NDC80, RPS27, SMC3, PLK1, PSMD12, CDC20, ANAPC2, BIRC5, BUB3, PSMD14, PSMB4","Cell cycle (10), Oocyte meiosis (9), Proteasome (8), Progesterone-mediated oocyte maturation (6), Ubiquitin mediated proteolysis (5), RNA transport (3), Ribosome (2), Ribosome biogenesis in eukaryotes (1)"
"1320",9531,"BAG3","MedConf","Yes",NA,"HSPA8","Spliceosome (1)"
"1339",8314,"BAP1","HighConf","Yes",NA,"PSMD7, PSMB4, PSMA4, PSMD10, IPO5, PSMA6, PSMC1","Proteasome (5)"
"1397",100529063,"BCL2L2-PABPN1","HighConf","Yes","mRNA surveillance pathway","EXOSC10","RNA degradation (1)"
"1460",332,"BIRC5","MedConf","Yes",NA,"XPO1, NUP85, TUBG1, NUMA1, TUBGCP3, AURKB, ITGB3BP, SPC24, KIF23, RANGAP1, CDCA8, CENPI, PARP4, SPDL1, NDC80, INCENP, BUB3, CDC20, MAD2L1, SMC3, PLK1, RPS27","Cell cycle (5), Oocyte meiosis (4), RNA transport (3), Progesterone-mediated oocyte maturation (2), Ribosome (2), Ubiquitin mediated proteolysis (1), Base excision repair (1), Ribosome biogenesis in eukaryotes (1)"
"1558",55299,"BRIX1","MedConf","Yes",NA,"NIP7, PES1, RPL3, CEBPZ","Ribosome (1)"
"1599",10950,"BTG3","HighConf","Yes","RNA degradation",NA,NA
"1615",9184,"BUB3","MedConf","Yes","Cell cycle","BIRC5, XPO1, CDC16, NUP85, ANAPC2, AURKB, ITGB3BP, SPC24, RANGAP1, CDCA8, CENPI, ANAPC5, SPDL1, NDC80, PSMD12, CDC20, INCENP, PSMD10, PSMA6, PSMC1, SMC3, PSMD7, PSMB4, PSMB7, CDC23, SF3A2, MAD2L1, PLK1, PSMA4, PSMD14, RPS27, NKAP","Oocyte meiosis (8), Cell cycle (8), Proteasome (8), Progesterone-mediated oocyte maturation (6), Ubiquitin mediated proteolysis (5), RNA transport (3), Ribosome (2), Spliceosome (1), Ribosome biogenesis in eukaryotes (1)"
"1617",8896,"BUD31","HighConf","Yes","Spliceosome","CDC5L, PRPF8, SNRPA1, SF3A2, SNRPD3, SNW1, SNRPG, SF3B5, PHF5A, SDE2, RNF113A, NAA50, PRPF19","Spliceosome (10), Ubiquitin mediated proteolysis (1)"
"2043",51719,"CAB39","MedConf","Yes",NA,"PRKACA","Progesterone-mediated oocyte maturation (1), Oocyte meiosis (1)"
"2086",790,"CAD","MedConf","Yes","Pyrimidine metabolism","TUFM, RUVBL1, RAD23B, ALDH18A1, USP34, ZFAND4, CARNS1, ERH, USP9Y, SEPSECS, DHODH","Pyrimidine metabolism (1), Aminoacyl-tRNA biosynthesis (1), Biosynthesis of amino acids (1), Nucleotide excision repair (1)"
"2122",816,"CAMK2B","MedConf","Yes","Oocyte meiosis","IFNG, IFNGR1, RAC1, MAP2K3","Proteasome (1)"
"2183",57571,"CARNS1","MedConf","Yes",NA,"CAD","Pyrimidine metabolism (1)"
"2185",79587,"CARS2","MedConf","Yes","Aminoacyl-tRNA biosynthesis",NA,NA
"2230",23624,"CBLC","MedConf","Yes","Ubiquitin mediated proteolysis","IFNGR1, PDGFRA, PIK3CA","Progesterone-mediated oocyte maturation (1)"
"2424",890,"CCNA2","MedConf","Yes","Cell cycle, Progesterone-mediated oocyte maturation","CKS1B, CDC20, RBL2, PCNA","Cell cycle (3), Base excision repair (1), Mismatch repair (1), DNA replication (1), Nucleotide excision repair (1), Ubiquitin mediated proteolysis (1), Oocyte meiosis (1)"
"2428",85417,"CCNB3","MedConf","Yes","Cell cycle, Progesterone-mediated oocyte maturation",NA,NA
"2432",896,"CCND3","HighConf","Yes","Cell cycle","MED1, MED17, PIK3CA, TRIM28, MED14, RBL2, MED9, MED11, CDK12, PCNA","Cell cycle (2), Base excision repair (1), Mismatch repair (1), DNA replication (1), Nucleotide excision repair (1), Progesterone-mediated oocyte maturation (1)"
"2573",8881,"CDC16","HighConf","Yes","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Progesterone-mediated oocyte maturation","ANAPC2, AURKB, ANAPC5, MAD2L1, PSMA4, PSMB7, PTTG1, PSMD14, PSMD10, CDC23, PSMC1, PSMA6, PLK1, PSMD12, PSMB4, BUB3, CDC20, PSMD7","Cell cycle (8), Proteasome (8), Oocyte meiosis (7), Progesterone-mediated oocyte maturation (5), Ubiquitin mediated proteolysis (4)"
"2574",991,"CDC20","HighConf","Yes","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis","INCENP, NDC80, PLK1, SMC3, BUB3, BIRC5, XPO1, PTTG1, CDC16, NUP85, ANAPC2, AURKB, ITGB3BP, SPC24, RANGAP1, CDCA8, CENPI, ANAPC5, SPDL1, MAD2L1, PSMA6, PSMD7, PSMB4, PSMD12, TCP1, PSMB7, CDC23, CCNA2, PSMA4, PSMD14, PSMC1, RPS27, PSMD10","Cell cycle (10), Oocyte meiosis (8), Proteasome (8), Progesterone-mediated oocyte maturation (7), Ubiquitin mediated proteolysis (4), RNA transport (3), Ribosome (2), Ribosome biogenesis in eukaryotes (1)"
"2576",8697,"CDC23","MedConf","Yes","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Progesterone-mediated oocyte maturation","PSMC1, PSMA6, PSMD12, PSMD7, PSMD14, PSMB7, PSMB4, PSMA4, PSMD10, MAD2L1, CDC20, PLK1, BUB3, PTTG1, CDC16, ANAPC2, AURKB, ANAPC5","Cell cycle (8), Proteasome (8), Oocyte meiosis (7), Progesterone-mediated oocyte maturation (5), Ubiquitin mediated proteolysis (4)"
"2597",8318,"CDC45","HighConf","Yes","Cell cycle","RPA3, POLE2, PRIM1, MCM7, RPA1, PCNA, GINS3","DNA replication (6), Nucleotide excision repair (4), Mismatch repair (3), Cell cycle (2), Base excision repair (2), Fanconi anemia pathway (2), Purine metabolism (2), Pyrimidine metabolism (2)"
"2598",988,"CDC5L","MedConf","Yes","Spliceosome","PRPF8, SNRPA1, RPL13, SNRPF, SF3A2, SNRPD3, SNRPD1, SNW1, SNRPG, SF3B1, DHX15, SRSF1, U2AF2, EIF4A3, RNF113A, NAA50, SFPQ, PRPF19, HSPA8, BUD31","Spliceosome (16), Ubiquitin mediated proteolysis (1), mRNA surveillance pathway (1), RNA transport (1), Ribosome (1)"
"2608",55143,"CDCA8","HighConf","Yes",NA,"CENPI, SPDL1, RANGAP1, RPS27, BUB3, SPC24, MAD2L1, ITGB3BP, NUP85, INCENP, CDC20, BIRC5, XPO1, AURKB, NDC80, SMC3, PLK1, KIF23","Cell cycle (5), Oocyte meiosis (4), RNA transport (3), Progesterone-mediated oocyte maturation (2), Ribosome (2), Ribosome biogenesis in eukaryotes (1), Ubiquitin mediated proteolysis (1)"
"2645",51755,"CDK12","MedConf","Yes",NA,"CCND3","Cell cycle (1)"
