"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.Pyrimidine metabolism","Ntwrk.Pyrimidine metabolism","NtwrkCount.Purine metabolism","Ntwrk.Purine metabolism","NtwrkCount.NA","Ntwrk.NA","Total_Path_Hits.net.count"
"1",10096,"ACTR3",27,"HighConf","Novel",NA,2,"ARPC1A, PSMA7",0,NA,0,NA,0,"",0
"2",158067,"AK8",80,"MedConf","Purine metabolism","Purine metabolism",3,"NME4, NME3, NME6",0,NA,3,"NME6, NME4, NME3",0,"",3
"3",10552,"ARPC1A",95,"MedConf","Novel",NA,2,"PSMA7, ACTR3",0,NA,0,NA,0,"",0
"4",29086,"BABAM1",21,"MedConf","Novel",NA,1,"PSMA4",0,NA,0,NA,0,"",0
"5",124583,"CANT1",115,"HighConf","Purine metabolism","Pyrimidine metabolism, Purine metabolism",4,"UCK2, NME4, NME3, NME6",1,"UCK2",3,"NME6, NME4, NME3",0,"",4
"6",829,"CAPZA1",98,"HighConf","Novel",NA,1,"MAGOH",0,NA,0,NA,0,"",0
"7",22794,"CASC3",101,"MedConf","Novel","RNA transport, mRNA surveillance pathway",5,"RPL26, RPSA, RPS28, RPS3A, MAGOH",0,NA,0,NA,0,"",0
"8",837,"CASP4",113,"MedConf","Novel",NA,1,"EIF4G2",0,NA,0,NA,0,"",0
"9",839,"CASP6",114,"MedConf","Novel",NA,1,"EIF4G2",0,NA,0,NA,0,"",0
"10",728642,"CDK11A",109,"MedConf","Novel",NA,1,"EIF3F",0,NA,0,NA,0,"",0
"11",1025,"CDK9",103,"MedConf","Novel",NA,5,"POLR2B, SUPT5H, POLR2K, POLR2D, POLR2G",0,NA,4,"POLR2K, POLR2G, POLR2D, POLR2B",0,"",4
"12",4261,"CIITA",96,"MedConf","Novel",NA,2,"XPO1, PSMC5",0,NA,0,NA,0,"",0
"13",79869,"CPSF7",77,"MedConf","Novel","mRNA surveillance pathway",24,"PABPN1, NFX1, HNRNPA3, POLR2D, SF3B3, POLR2B, SNRPE, SF3B2, SF3B5, SF3A3, POLR2G, SF3A1, SNRPG, SF3B6, SNRPB, SNRPD1, SRSF3, SF3B1, SNRPA1, PHF5A, SNRPD3, POLR2K, MAGOH, SNRNP200",0,NA,4,"POLR2K, POLR2G, POLR2D, POLR2B",0,"",4
"14",1659,"DHX8",33,"MedConf","Novel","Spliceosome",3,"PHF5A, ISY1-RAB43, PLRG1",0,NA,0,NA,0,"",0
"15",3337,"DNAJB1",73,"MedConf","Novel",NA,3,"HSPB2, HSPA8, EP300",0,NA,0,NA,0,"",0
