EntrezID,GeneSymbol,InputCategory,TRIAGEhits,Pathway,InteractingGenes,NetworkGenePathways
1244,ABCC2,MedConf,Yes,,EEF1A1,RNA transport (1)
84448,ABLIM2,MedConf,Yes,,CDC42,"Focal adhesion (1), MAPK signaling pathway (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Regulation of actin cytoskeleton (1), T cell receptor signaling pathway (1)"
80325,ABTB1,MedConf,Yes,,EEF1A1,RNA transport (1)
39,ACAT2,MedConf,Yes,"Lysine degradation, Pyruvate metabolism, Propanoate metabolism","TRAPPC8, HADHA, SPR, UBXN1","Lysine degradation (1), Propanoate metabolism (1)"
55331,ACER3,MedConf,Yes,,SPHK1,Phospholipase D signaling pathway (1)
58,ACTA1,MedConf,Yes,,"PAK2, FLT1, FLT4, MEF2C, CDC42","Focal adhesion (4), Ras signaling pathway (4), MAPK signaling pathway (3), Rap1 signaling pathway (3), PI3K-Akt signaling pathway (2), Regulation of actin cytoskeleton (2), T cell receptor signaling pathway (2), ErbB signaling pathway (1), HIF-1 signaling pathway (1)"
59,ACTA2,MedConf,Yes,Relaxin signaling pathway,"MYL10, MYOCD, RPS15A, RPS23, RPL7A, RPS4X, RPL10A, RPL18, RPL17, SPTAN1","Ribosome (7), Focal adhesion (1), Regulation of actin cytoskeleton (1)"
102,ADAM10,HighConf,Yes,,EGF,"EGFR tyrosine kinase inhibitor resistance (1), ErbB signaling pathway (1), Focal adhesion (1), FoxO signaling pathway (1), HIF-1 signaling pathway (1), MAPK signaling pathway (1), Phospholipase D signaling pathway (1), PI3K-Akt signaling pathway (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Regulation of actin cytoskeleton (1)"
116986,AGAP2,HighConf,Yes,FoxO signaling pathway,,
192669,AGO3,HighConf,Yes,,PTEN,"Autophagy - animal (1), EGFR tyrosine kinase inhibitor resistance (1), Focal adhesion (1), FoxO signaling pathway (1), mTOR signaling pathway (1), PI3K-Akt signaling pathway (1)"
186,AGTR2,MedConf,Yes,,"GNG2, LPAR1, CHRM2, RXFP3","PI3K-Akt signaling pathway (3), Relaxin signaling pathway (2), Phospholipase D signaling pathway (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Regulation of actin cytoskeleton (1)"
25909,AHCTF1,MedConf,Yes,,"NUP160, TAOK1, RANBP2, RANGAP1, RPS27, NUP107, NUP133, XPO1, CDC42, NUP85","RNA transport (7), MAPK signaling pathway (2), Focal adhesion (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Regulation of actin cytoskeleton (1), Ribosome (1), Ribosome biogenesis in eukaryotes (1), T cell receptor signaling pathway (1)"
