"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"6",104457,"0610010K14Rik","MedConf","Yes",NA,"Tex10, Las1l, Phf20, Taf7, Senp3, Rnf2, Max, Mga, Wdr5, E2f6, Taf6","MAPK signaling pathway (1)"
"20",67388,"1110008F13Rik","HighConf","Yes",NA,"Hdac1, Smad4, Tgif1, Smad3","Cell cycle (3), Apelin signaling pathway (2), Wnt signaling pathway (2), Signaling pathways regulating pluripotency of stem cells (2), Th17 cell differentiation (2), AGE-RAGE signaling pathway in diabetic complications (2), FoxO signaling pathway (2), Relaxin signaling pathway (1), Cellular senescence (1), Endocytosis (1), Longevity regulating pathway - multiple species (1), Notch signaling pathway (1), Thyroid hormone signaling pathway (1)"
"238",67028,"2610002M06Rik","HighConf","Yes","Endocytosis, Necroptosis","Vta1, Chmp2a, Stambp","Endocytosis (3), Necroptosis (1)"
"602",319277,"A230046K03Rik","HighConf","Yes","Endocytosis","Ccdc53, Capza1, Fam21","Endocytosis (3)"
"659",245350,"AA414768","HighConf","Yes","Ubiquitin mediated proteolysis",NA,NA
"677",67618,"Aasdhppt","MedConf","Yes",NA,"Fasn","Insulin signaling pathway (1), AMPK signaling pathway (1)"
"697",18670,"Abcb4","HighConf","Yes",NA,"Rxra, Tgs1, Tbl1xr1, Ncoa2, Ncoa1, Med1, Helz2","Thyroid hormone signaling pathway (4), PI3K-Akt signaling pathway (1), Th17 cell differentiation (1), Adipocytokine signaling pathway (1), Wnt signaling pathway (1), Endocrine resistance (1)"
"723",76192,"Abhd12","HighConf","Yes",NA,"Abhd6, Sacm1l, Dlg4","Inositol phosphate metabolism (1), Phosphatidylinositol signaling system (1)"
"736",66082,"Abhd6","HighConf","Yes",NA,"Dlg4, Sacm1l, Abhd12","Inositol phosphate metabolism (1), Phosphatidylinositol signaling system (1)"
"738",11308,"Abi1","MedConf","Yes",NA,"Actr3, Elmo1, Vav2, Arpc2, Actr2, Actb, Abl1, Actg1, Crk, Arpc5","Regulation of actin cytoskeleton (6), Focal adhesion (4), Fc gamma R-mediated phagocytosis (4), Tight junction (4), Chemokine signaling pathway (3), Rap1 signaling pathway (3), Oxytocin signaling pathway (2), Platelet activation (2), Thyroid hormone signaling pathway (2), Apoptosis (2), ErbB signaling pathway (2), Neurotrophin signaling pathway (2), Endocytosis (2), cAMP signaling pathway (1), Natural killer cell mediated cytotoxicity (1), Fc epsilon RI signaling pathway (1), B cell receptor signaling pathway (1), T cell receptor signaling pathway (1), Axon guidance (1), Ras signaling pathway (1), Cell cycle (1), Insulin signaling pathway (1), MAPK signaling pathway (1)"
"739",329165,"Abi2","HighConf","Yes","Regulation of actin cytoskeleton",NA,NA
