"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"177",81616,"ACSBG2","HighConf","Yes","Adipocytokine signaling pathway",NA,NA
"224",90,"ACVR1","MedConf","Yes","Cytokine-cytokine receptor interaction, Signaling pathways regulating pluripotency of stem cells","PRKACA, IKBKB","Ras signaling pathway (2), Insulin signaling pathway (2), Chemokine signaling pathway (2), Longevity regulating pathway (2), NF-kappa B signaling pathway (1), Adipocytokine signaling pathway (1), Cytosolic DNA-sensing pathway (1), Insulin resistance (1), Type II diabetes mellitus (1), Toll-like receptor signaling pathway (1), mTOR signaling pathway (1), T cell receptor signaling pathway (1), B cell receptor signaling pathway (1), PI3K-Akt signaling pathway (1), Inflammatory mediator regulation of TRP channels (1), Endocrine resistance (1), Progesterone-mediated oocyte maturation (1), Aldosterone synthesis and secretion (1), Apelin signaling pathway (1), Gastric acid secretion (1), Thyroid hormone synthesis (1), Melanogenesis (1), Estrogen signaling pathway (1), Circadian entrainment (1), Salivary secretion (1), Retrograde endocannabinoid signaling (1), Wnt signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), cAMP signaling pathway (1), Insulin secretion (1), Relaxin signaling pathway (1), Longevity regulating pathway - multiple species (1), Oxytocin signaling pathway (1), Regulation of lipolysis in adipocytes (1), GABAergic synapse (1), Endocrine and other factor-regulated calcium reabsorption (1), Autophagy - animal (1), Cholinergic synapse (1), Vasopressin-regulated water reabsorption (1), Non-alcoholic fatty liver disease (NAFLD) (1)"
"303",115,"ADCY9","MedConf","Yes","Vasopressin-regulated water reabsorption, Chemokine signaling pathway, Cholinergic synapse, cGMP-PKG signaling pathway, Endocrine and other factor-regulated calcium reabsorption, GABAergic synapse, Longevity regulating pathway, Regulation of lipolysis in adipocytes, Pancreatic secretion, Oxytocin signaling pathway, Longevity regulating pathway - multiple species, Relaxin signaling pathway, Insulin secretion, cAMP signaling pathway, Adrenergic signaling in cardiomyocytes, Retrograde endocannabinoid signaling, Salivary secretion, Circadian entrainment, Estrogen signaling pathway, Melanogenesis, Thyroid hormone synthesis, Gastric acid secretion, Apelin signaling pathway, Aldosterone synthesis and secretion, Progesterone-mediated oocyte maturation, Endocrine resistance, Inflammatory mediator regulation of TRP channels","TAS2R42, HRH4, PRKACA, GNB2, POLR2J3","Apelin signaling pathway (2), Ras signaling pathway (2), Circadian entrainment (2), Retrograde endocannabinoid signaling (2), Relaxin signaling pathway (2), GABAergic synapse (2), Cholinergic synapse (2), Chemokine signaling pathway (2), Longevity regulating pathway (2), PI3K-Akt signaling pathway (1), Inflammatory mediator regulation of TRP channels (1), Endocrine resistance (1), Progesterone-mediated oocyte maturation (1), Aldosterone synthesis and secretion (1), Gastric acid secretion (1), Thyroid hormone synthesis (1), Melanogenesis (1), Estrogen signaling pathway (1), Salivary secretion (1), Wnt signaling pathway (1), Insulin signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), cAMP signaling pathway (1), Insulin secretion (1), Longevity regulating pathway - multiple species (1), Oxytocin signaling pathway (1), Regulation of lipolysis in adipocytes (1), Endocrine and other factor-regulated calcium reabsorption (1), Autophagy - animal (1), Vasopressin-regulated water reabsorption (1)"
"451",11216,"AKAP10","HighConf","Yes",NA,"PRKACA","Longevity regulating pathway (2), Inflammatory mediator regulation of TRP channels (1), Endocrine resistance (1), Progesterone-mediated oocyte maturation (1), Aldosterone synthesis and secretion (1), Apelin signaling pathway (1), Gastric acid secretion (1), Thyroid hormone synthesis (1), Melanogenesis (1), Ras signaling pathway (1), Estrogen signaling pathway (1), Circadian entrainment (1), Salivary secretion (1), Retrograde endocannabinoid signaling (1), Wnt signaling pathway (1), Insulin signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), cAMP signaling pathway (1), Insulin secretion (1), Relaxin signaling pathway (1), Longevity regulating pathway - multiple species (1), Oxytocin signaling pathway (1), Regulation of lipolysis in adipocytes (1), GABAergic synapse (1), Endocrine and other factor-regulated calcium reabsorption (1), Autophagy - animal (1), Cholinergic synapse (1), Chemokine signaling pathway (1), Vasopressin-regulated water reabsorption (1)"
"884",23092,"ARHGAP26","MedConf","Yes",NA,"VAV2","Natural killer cell mediated cytotoxicity (1), cAMP signaling pathway (1), T cell receptor signaling pathway (1), B cell receptor signaling pathway (1), Chemokine signaling pathway (1)"
"889",57514,"ARHGAP31","MedConf","Yes",NA,"VAV2","Natural killer cell mediated cytotoxicity (1), cAMP signaling pathway (1), T cell receptor signaling pathway (1), B cell receptor signaling pathway (1), Chemokine signaling pathway (1)"
"1169",490,"ATP2B1","MedConf","Yes","cGMP-PKG signaling pathway, Endocrine and other factor-regulated calcium reabsorption, Pancreatic secretion, cAMP signaling pathway, Adrenergic signaling in cardiomyocytes, Salivary secretion","PRKACA","Longevity regulating pathway (2), Inflammatory mediator regulation of TRP channels (1), Endocrine resistance (1), Progesterone-mediated oocyte maturation (1), Aldosterone synthesis and secretion (1), Apelin signaling pathway (1), Gastric acid secretion (1), Thyroid hormone synthesis (1), Melanogenesis (1), Ras signaling pathway (1), Estrogen signaling pathway (1), Circadian entrainment (1), Salivary secretion (1), Retrograde endocannabinoid signaling (1), Wnt signaling pathway (1), Insulin signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), cAMP signaling pathway (1), Insulin secretion (1), Relaxin signaling pathway (1), Longevity regulating pathway - multiple species (1), Oxytocin signaling pathway (1), Regulation of lipolysis in adipocytes (1), GABAergic synapse (1), Endocrine and other factor-regulated calcium reabsorption (1), Autophagy - animal (1), Cholinergic synapse (1), Chemokine signaling pathway (1), Vasopressin-regulated water reabsorption (1)"
"1266",554,"AVPR2","MedConf","Yes","Vasopressin-regulated water reabsorption",NA,NA
"1384",8915,"BCL10","MedConf","Yes","B cell receptor signaling pathway, T cell receptor signaling pathway, NF-kappa B signaling pathway",NA,NA
"1612",8945,"BTRC","HighConf","Yes","Wnt signaling pathway, Cellular senescence, Circadian rhythm","IKBKB, EEF2K, REST, PRKACA, PER3","Circadian entrainment (2), Ras signaling pathway (2), Insulin signaling pathway (2), Oxytocin signaling pathway (2), Longevity regulating pathway (2), Chemokine signaling pathway (2), Circadian rhythm (1), Inflammatory mediator regulation of TRP channels (1), Endocrine resistance (1), Progesterone-mediated oocyte maturation (1), Aldosterone synthesis and secretion (1), Apelin signaling pathway (1), Gastric acid secretion (1), Thyroid hormone synthesis (1), Melanogenesis (1), Estrogen signaling pathway (1), Salivary secretion (1), Retrograde endocannabinoid signaling (1), Wnt signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), cAMP signaling pathway (1), Insulin secretion (1), Relaxin signaling pathway (1), Longevity regulating pathway - multiple species (1), Regulation of lipolysis in adipocytes (1), GABAergic synapse (1), Endocrine and other factor-regulated calcium reabsorption (1), Autophagy - animal (1), Cholinergic synapse (1), Vasopressin-regulated water reabsorption (1), Signaling pathways regulating pluripotency of stem cells (1), AMPK signaling pathway (1), NF-kappa B signaling pathway (1), Adipocytokine signaling pathway (1), Cytosolic DNA-sensing pathway (1), Insulin resistance (1), Type II diabetes mellitus (1), Toll-like receptor signaling pathway (1), mTOR signaling pathway (1), T cell receptor signaling pathway (1), B cell receptor signaling pathway (1), PI3K-Akt signaling pathway (1), Non-alcoholic fatty liver disease (NAFLD) (1)"
