"","EntrezID","GeneSymbol","PathwayID","PathwayName"
"1","10","NAT2",5204,"Chemical carcinogenesis"
"2","100","ADA",5340,"Primary immunodeficiency"
"3","1000","CDH2",5412,"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"
"4","10000","AKT3",5142,"Chagas disease (American trypanosomiasis)"
"5","10000","AKT3",5145,"Toxoplasmosis"
"6","10000","AKT3",5152,"Tuberculosis"
"7","10000","AKT3",5160,"Hepatitis C"
"8","10000","AKT3",5161,"Hepatitis B"
"9","10000","AKT3",5162,"Measles"
"10","10000","AKT3",5164,"Influenza A"
"11","10000","AKT3",5165,"Human papillomavirus infection"
"12","10000","AKT3",5166,"HTLV-I infection"
"13","10000","AKT3",5167,"Kaposi's sarcoma-associated herpesvirus infection"
"14","10000","AKT3",5169,"Epstein-Barr virus infection"
"15","10000","AKT3",5200,"Pathways in cancer"
"16","10000","AKT3",5205,"Proteoglycans in cancer"
"17","10000","AKT3",5210,"Colorectal cancer"
"18","10000","AKT3",5211,"Renal cell carcinoma"
"19","10000","AKT3",5212,"Pancreatic cancer"
"20","10000","AKT3",5213,"Endometrial cancer"
"21","10000","AKT3",5214,"Glioma"
"22","10000","AKT3",5215,"Prostate cancer"
"23","10000","AKT3",5218,"Melanoma"
"24","10000","AKT3",5220,"Chronic myeloid leukemia"
"25","10000","AKT3",5221,"Acute myeloid leukemia"
"26","10000","AKT3",5222,"Small cell lung cancer"
"27","10000","AKT3",5223,"Non-small cell lung cancer"
"28","10000","AKT3",5224,"Breast cancer"
"29","10000","AKT3",5230,"Central carbon metabolism in cancer"
"30","10000","AKT3",5231,"Choline metabolism in cancer"
"31","10000","AKT3",5418,"Fluid shear stress and atherosclerosis"
"32","10013","HDAC6",5034,"Alcoholism"
"33","10013","HDAC6",5165,"Human papillomavirus infection"
"34","10013","HDAC6",5203,"Viral carcinogenesis"
"35","100132463","CLDN24",5160,"Hepatitis C"
"36","100137049","PLA2G4B",5231,"Choline metabolism in cancer"
"37","10014","HDAC5",5034,"Alcoholism"
"38","10014","HDAC5",5165,"Human papillomavirus infection"
"39","10014","HDAC5",5169,"Epstein-Barr virus infection"
"40","10014","HDAC5",5203,"Viral carcinogenesis"
"41","10018","BCL2L11",5206,"MicroRNAs in cancer"
"42","10018","BCL2L11",5210,"Colorectal cancer"
"43","10023","FRAT1",5224,"Breast cancer"
