"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"4101",20927,"Abcc8","MedConf","Yes","Insulin secretion",NA,NA
"4154",113868,"Acaa1a","HighConf","Yes","Fatty acid metabolism","Hadh","Fatty acid metabolism (1)"
"4157",107476,"Acaca","HighConf","Yes","AMPK signaling pathway, Insulin signaling pathway, Fatty acid metabolism, Fatty acid biosynthesis, Glucagon signaling pathway","Fasn, Prkab1, Rad23a, Nedd8, Rps27a","Insulin signaling pathway (2), AMPK signaling pathway (2), Longevity regulating pathway (2), Ribosome (1), Nucleotide excision repair (1), Insulin resistance (1), Longevity regulating pathway - multiple species (1), Glucagon signaling pathway (1), FoxO signaling pathway (1), Oxytocin signaling pathway (1), Fatty acid biosynthesis (1), Fatty acid metabolism (1)"
"4192",59289,"Ackr2","MedConf","Yes",NA,"Actg1, Sh2b2","Neurotrophin signaling pathway (1), Insulin signaling pathway (1), Rap1 signaling pathway (1), Thyroid hormone signaling pathway (1), Oxytocin signaling pathway (1), Apoptosis (1)"
"4228",74205,"Acsl3","HighConf","Yes","Fatty acid metabolism, Fatty acid biosynthesis",NA,NA
"4247",11465,"Actg1","MedConf","Yes","Apoptosis, Oxytocin signaling pathway, Thyroid hormone signaling pathway, Rap1 signaling pathway","Sh2b2, Wasf1, Ackr2, Ctnna1, Msn, Grb2, Prkca","Ras signaling pathway (2), Phospholipase D signaling pathway (2), EGFR tyrosine kinase inhibitor resistance (2), GnRH signaling pathway (2), Fc gamma R-mediated phagocytosis (2), Gap junction (2), Relaxin signaling pathway (2), PI3K-Akt signaling pathway (2), MAPK signaling pathway (2), Neurotrophin signaling pathway (2), Insulin signaling pathway (2), Aldosterone synthesis and secretion (1), Rap1 signaling pathway (1), Insulin secretion (1), Serotonergic synapse (1), GABAergic synapse (1), Endocrine and other factor-regulated calcium reabsorption (1), Sphingolipid signaling pathway (1), Dopaminergic synapse (1), Melanogenesis (1), Adrenergic signaling in cardiomyocytes (1), Thyroid hormone signaling pathway (1), Oxytocin signaling pathway (1), Inflammatory mediator regulation of TRP channels (1), Endocrine resistance (1), FoxO signaling pathway (1), T cell receptor signaling pathway (1), B cell receptor signaling pathway (1), Estrogen signaling pathway (1), Osteoclast differentiation (1)"
"4286",11487,"Adam10","MedConf","Yes",NA,"Rps27a","Ribosome (1)"
"4378",11539,"Adora1","HighConf","Yes","cAMP signaling pathway, cGMP-PKG signaling pathway, Sphingolipid signaling pathway, Neuroactive ligand-receptor interaction","Cxcl2, Hcar1, Cnr1, Rxfp3, Tas2r120, P2ry12, Lpar5, Sstr3, Grm2, Cxcr4, S1pr5, Oprd1, Ccl6","Neuroactive ligand-receptor interaction (6), Cytokine-cytokine receptor interaction (3), Sphingolipid signaling pathway (2), Phospholipase D signaling pathway (2), Rap1 signaling pathway (2), cGMP-PKG signaling pathway (1), PI3K-Akt signaling pathway (1), Relaxin signaling pathway (1), Intestinal immune network for IgA production (1), Endocytosis (1), cAMP signaling pathway (1), TNF signaling pathway (1), IL-17 signaling pathway (1), NF-kappa B signaling pathway (1), NOD-like receptor signaling pathway (1)"
"4379",11540,"Adora2a","MedConf","Yes","cAMP signaling pathway, Neuroactive ligand-receptor interaction, Rap1 signaling pathway","Vip, Gip, Glp2r, Drd5","Neuroactive ligand-receptor interaction (2), Insulin secretion (1), Dopaminergic synapse (1), cAMP signaling pathway (1)"
"NA",NA,NA,NA,NA,NA,NA,NA
