EntrezID,GeneSymbol,InputCategory,TRIAGEhits,Pathway,InteractingGenes,NetworkGenePathways
54,ACP5,HighConf,Yes,"Lysosome, Osteoclast differentiation",,
2180,ACSL1,HighConf,Yes,"Ferroptosis, PPAR signaling pathway, Adipocytokine signaling pathway, Fatty acid biosynthesis","PPT1, ACSL4","Adipocytokine signaling pathway (1), Fatty acid biosynthesis (1), Ferroptosis (1), Lysosome (1), PPAR signaling pathway (1)"
2182,ACSL4,HighConf,Yes,"Ferroptosis, PPAR signaling pathway, Adipocytokine signaling pathway, Fatty acid biosynthesis","ACSL1, PPT1","Adipocytokine signaling pathway (1), Fatty acid biosynthesis (1), Ferroptosis (1), Lysosome (1), PPAR signaling pathway (1)"
102,ADAM10,MedConf,Yes,,"FCER1G, ITGAX, PLAUR, VAMP8, ITGAM","Complement and coagulation cascades (3), C-type lectin receptor signaling pathway (1), Cell adhesion molecules (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Natural killer cell mediated cytotoxicity (1), Phagosome (1)"
350,APOH,MedConf,Yes,Cholesterol metabolism,,
493,ATP2B4,MedConf,Yes,Mineral absorption,,
537,ATP6AP1,MedConf,Yes,"Lysosome, Phagosome","TFRC, PPA1","Endocytosis (1), Ferroptosis (1), Hematopoietic cell lineage (1), HIF-1 signaling pathway (1), Phagosome (1)"
817,CAMK2D,MedConf,Yes,"Necroptosis, HIF-1 signaling pathway",STAT1,"AGE-RAGE signaling pathway in diabetic complications (1), C-type lectin receptor signaling pathway (1), Chemokine signaling pathway (1), Necroptosis (1), NOD-like receptor signaling pathway (1), Osteoclast differentiation (1), Prolactin signaling pathway (1), Toll-like receptor signaling pathway (1)"
867,CBL,MedConf,Yes,Endocytosis,"HCK, CLTA, DAB2, TFRC, LCP2, FCER1G, IGF2R, VAMP8, FNBP1, SRC","Endocytosis (5), C-type lectin receptor signaling pathway (2), Chemokine signaling pathway (2), Lysosome (2), Natural killer cell mediated cytotoxicity (2), Ferroptosis (1), Hematopoietic cell lineage (1), HIF-1 signaling pathway (1), Osteoclast differentiation (1), Phagosome (1), Prolactin signaling pathway (1)"
6364,CCL20,HighConf,Yes,"TNF signaling pathway, Chemokine signaling pathway",CCL5,"Chemokine signaling pathway (1), Cytosolic DNA-sensing pathway (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1)"
6348,CCL3,MedConf,Yes,"Toll-like receptor signaling pathway, Chemokine signaling pathway",,
388372,CCL4L1,HighConf,Yes,"NF-kappa B signaling pathway, Toll-like receptor signaling pathway, Cytosolic DNA-sensing pathway, Chemokine signaling pathway",,
6352,CCL5,HighConf,Yes,"NOD-like receptor signaling pathway, Toll-like receptor signaling pathway, TNF signaling pathway, Cytosolic DNA-sensing pathway, Chemokine signaling pathway","CCL20, NFKB1","Chemokine signaling pathway (2), TNF signaling pathway (2), Adipocytokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Antifolate resistance (1), Apoptosis (1), C-type lectin receptor signaling pathway (1), Cytosolic DNA-sensing pathway (1), HIF-1 signaling pathway (1), NF-kappa B signaling pathway (1), NOD-like receptor signaling pathway (1), Osteoclast differentiation (1), Prolactin signaling pathway (1), RIG-I-like receptor signaling pathway (1), Toll-like receptor signaling pathway (1)"
909,CD1A,MedConf,Yes,Hematopoietic cell lineage,,
911,CD1C,MedConf,Yes,Hematopoietic cell lineage,,
30835,CD209,MedConf,Yes,"C-type lectin receptor signaling pathway, Phagosome",LSP1,C-type lectin receptor signaling pathway (1)
29126,CD274,HighConf,Yes,Cell adhesion molecules,,
948,CD36,HighConf,Yes,"Hematopoietic cell lineage, Phagosome, PPAR signaling pathway, Cholesterol metabolism, Adipocytokine signaling pathway",,
958,CD40,HighConf,Yes,"NF-kappa B signaling pathway, Toll-like receptor signaling pathway, Cell adhesion molecules","STAT5A, NFKB1, TRAF1","AGE-RAGE signaling pathway in diabetic complications (2), Apoptosis (2), NF-kappa B signaling pathway (2), Prolactin signaling pathway (2), TNF signaling pathway (2), Adipocytokine signaling pathway (1), Antifolate resistance (1), C-type lectin receptor signaling pathway (1), Chemokine signaling pathway (1), Cytosolic DNA-sensing pathway (1), HIF-1 signaling pathway (1), Necroptosis (1), NOD-like receptor signaling pathway (1), Osteoclast differentiation (1), RIG-I-like receptor signaling pathway (1), Toll-like receptor signaling pathway (1)"
960,CD44,MedConf,Yes,Hematopoietic cell lineage,"CD74, OAS2, GBP1, GBP2, MT2A, IRF5, OAS3, PML, HLA-B","NOD-like receptor signaling pathway (4), Antigen processing and presentation (2), Endocytosis (2), Cell adhesion molecules (1), Mineral absorption (1), Natural killer cell mediated cytotoxicity (1), Phagosome (1), Toll-like receptor signaling pathway (1), Type I diabetes mellitus (1)"
962,CD48,MedConf,Yes,Natural killer cell mediated cytotoxicity,,
967,CD63,MedConf,Yes,Lysosome,"VAMP8, NCSTN, CPNE3, TOM1",
