"","EntrezID","GeneSymbol","PathwayID","PathwayName"
"1","100017","Ldlrap1",4144,"Endocytosis"
"2","100017","Ldlrap1",4979,"Cholesterol metabolism"
"3","100019","Mdn1",3008,"Ribosome biogenesis in eukaryotes"
"4","100037258","Dnajc3",4141,"Protein processing in endoplasmic reticulum"
"5","100037258","Dnajc3",5164,"Influenza A"
"6","100038859","Olfr55",4740,"Olfactory transduction"
"7","100038860","Olfr239",4740,"Olfactory transduction"
"8","100038882","Isg15",4622,"RIG-I-like receptor signaling pathway"
"9","100038882","Isg15",5165,"Human papillomavirus infection"
"10","100038882","Isg15",5169,"Epstein-Barr virus infection"
"11","100038909","Gm14548",4380,"Osteoclast differentiation"
"12","100038909","Gm14548",4662,"B cell receptor signaling pathway"
"13","100038927","Defa30",4621,"NOD-like receptor signaling pathway"
"14","100038927","Defa30",5150,"Staphylococcus aureus infection"
"15","100038927","Defa30",5202,"Transcriptional misregulation in cancer"
"16","100038947","Sirpb1c",4380,"Osteoclast differentiation"
"17","100039042","Gm2016",3013,"RNA transport"
"18","100039060","Gm2026",5168,"Herpes simplex virus 1 infection"
"19","100039319","H2afb1",4217,"Necroptosis"
"20","100039319","H2afb1",5034,"Alcoholism"
"21","100039319","H2afb1",5322,"Systemic lupus erythematosus"
"22","100039707","Mthfsl",670,"One carbon pool by folate"
"23","100039707","Mthfsl",1100,"Metabolic pathways"
"24","100039801","Cldn24",4514,"Cell adhesion molecules"
"25","100039801","Cldn24",4530,"Tight junction"
"26","100039801","Cldn24",4670,"Leukocyte transendothelial migration"
"27","100039801","Cldn24",5160,"Hepatitis C"
"28","100039815","Gm2436",3015,"mRNA surveillance pathway"
"29","100039815","Gm2436",4071,"Sphingolipid signaling pathway"
"30","100039815","Gm2436",4151,"PI3K-Akt signaling pathway"
"31","100039815","Gm2436",4152,"AMPK signaling pathway"
"32","100039815","Gm2436",4261,"Adrenergic signaling in cardiomyocytes"
"33","100039815","Gm2436",4728,"Dopaminergic synapse"
"34","100039815","Gm2436",5165,"Human papillomavirus infection"
"35","100039830","Gm2446",3015,"mRNA surveillance pathway"
"36","100039830","Gm2446",4071,"Sphingolipid signaling pathway"
"37","100039830","Gm2446",4151,"PI3K-Akt signaling pathway"
"38","100039830","Gm2446",4152,"AMPK signaling pathway"
"39","100039830","Gm2446",4261,"Adrenergic signaling in cardiomyocytes"
"40","100039830","Gm2446",4728,"Dopaminergic synapse"
"41","100039830","Gm2446",5165,"Human papillomavirus infection"
"42","100039863","Gm13306",4060,"Cytokine-cytokine receptor interaction"
"43","100039863","Gm13306",4061,"Viral protein interaction with cytokine and cytokine receptor"
"44","100039863","Gm13306",4062,"Chemokine signaling pathway"
"45","100040048","Ccl27b",4060,"Cytokine-cytokine receptor interaction"
"46","100040048","Ccl27b",4061,"Viral protein interaction with cytokine and cytokine receptor"
"47","100040048","Ccl27b",4062,"Chemokine signaling pathway"
"48","100040208","Gm2663",4080,"Neuroactive ligand-receptor interaction"
"49","100040208","Gm2663",4972,"Pancreatic secretion"
"50","100040208","Gm2663",4974,"Protein digestion and absorption"
"51","100040208","Gm2663",5164,"Influenza A"
"52","100040233","Gm10334",4080,"Neuroactive ligand-receptor interaction"
"53","100040233","Gm10334",4972,"Pancreatic secretion"
"54","100040233","Gm10334",4974,"Protein digestion and absorption"
"55","100040233","Gm10334",5164,"Influenza A"
"56","100040268","Olfr157",4740,"Olfactory transduction"
"57","100040298","Gm15501",3010,"Ribosome"
"58","100040531","Dynlt1f",5132,"Salmonella infection"
"59","100040563","Dynlt1c",5132,"Salmonella infection"
"60","100040591","Kcnj13",4974,"Protein digestion and absorption"
"61","100040608","Fancf",3460,"Fanconi anemia pathway"
"62","100040843","Cyp4a32",71,"Fatty acid degradation"
"63","100040843","Cyp4a32",590,"Arachidonic acid metabolism"
"64","100040843","Cyp4a32",830,"Retinol metabolism"
"65","100040843","Cyp4a32",1100,"Metabolic pathways"
"66","100040843","Cyp4a32",3320,"PPAR signaling pathway"
"67","100040843","Cyp4a32",4270,"Vascular smooth muscle contraction"
"68","100040843","Cyp4a32",4750,"Inflammatory mediator regulation of TRP channels"
"69","100040944","Gm3055",5168,"Herpes simplex virus 1 infection"
"70","100041146","Gm15448",4380,"Osteoclast differentiation"
"71","100041146","Gm15448",4662,"B cell receptor signaling pathway"
"72","100041187","Olfr596",4740,"Olfactory transduction"
"73","100041194","Ahnak2",5132,"Salmonella infection"
"74","100041224","Gm3213",4120,"Ubiquitin mediated proteolysis"
"75","100041230","Hist1h4m",5034,"Alcoholism"
"76","100041230","Hist1h4m",5203,"Viral carcinogenesis"
"77","100041230","Hist1h4m",5322,"Systemic lupus erythematosus"
"78","100041273","Ndufb4c",190,"Oxidative phosphorylation"
"79","100041273","Ndufb4c",1100,"Metabolic pathways"
"80","100041273","Ndufb4c",4714,"Thermogenesis"
"81","100041273","Ndufb4c",4723,"Retrograde endocannabinoid signaling"
"82","100041273","Ndufb4c",4932,"Non-alcoholic fatty liver disease"
"83","100041273","Ndufb4c",5010,"Alzheimer disease"
"84","100041273","Ndufb4c",5012,"Parkinson disease"
"85","100041273","Ndufb4c",5014,"Amyotrophic lateral sclerosis"
"86","100041273","Ndufb4c",5016,"Huntington disease"
"87","100041273","Ndufb4c",5020,"Prion disease"
"88","100041273","Ndufb4c",5022,"Pathways of neurodegeneration - multiple diseases"
"89","100041375","Cyp3a41b",140,"Steroid hormone biosynthesis"
"90","100041375","Cyp3a41b",591,"Linoleic acid metabolism"
"91","100041375","Cyp3a41b",830,"Retinol metabolism"
"92","100041375","Cyp3a41b",1100,"Metabolic pathways"
"93","100041375","Cyp3a41b",5204,"Chemical carcinogenesis"
"94","100041579","Gm20878",4060,"Cytokine-cytokine receptor interaction"
"95","100041579","Gm20878",4061,"Viral protein interaction with cytokine and cytokine receptor"
"96","100041579","Gm20878",4062,"Chemokine signaling pathway"
"97","100041585","Amd2",270,"Cysteine and methionine metabolism"
"98","100041585","Amd2",330,"Arginine and proline metabolism"
"99","100041585","Amd2",1100,"Metabolic pathways"
"100","100041677","Zfp984",5168,"Herpes simplex virus 1 infection"
"101","100041688","Defa35",4621,"NOD-like receptor signaling pathway"
"102","100041688","Defa35",5150,"Staphylococcus aureus infection"
"103","100041688","Defa35",5202,"Transcriptional misregulation in cancer"
"104","100041759","Defa41",4621,"NOD-like receptor signaling pathway"
"105","100041759","Defa41",5150,"Staphylococcus aureus infection"
"106","100041759","Defa41",5202,"Transcriptional misregulation in cancer"
"107","100041787","Defa40",4621,"NOD-like receptor signaling pathway"
"108","100041787","Defa40",5150,"Staphylococcus aureus infection"
"109","100041787","Defa40",5202,"Transcriptional misregulation in cancer"
"110","100041811","Defa27",4621,"NOD-like receptor signaling pathway"
"111","100041811","Defa27",5150,"Staphylococcus aureus infection"
"112","100041811","Defa27",5202,"Transcriptional misregulation in cancer"
"113","100041890","Defa32",4621,"NOD-like receptor signaling pathway"
"114","100041890","Defa32",5150,"Staphylococcus aureus infection"
"115","100041890","Defa32",5202,"Transcriptional misregulation in cancer"
"116","100041895","Defa37",4621,"NOD-like receptor signaling pathway"
"117","100041895","Defa37",5150,"Staphylococcus aureus infection"
"118","100041895","Defa37",5202,"Transcriptional misregulation in cancer"
"119","100041952","Defa34",4621,"NOD-like receptor signaling pathway"
"120","100041952","Defa34",5150,"Staphylococcus aureus infection"
"121","100041952","Defa34",5202,"Transcriptional misregulation in cancer"
"122","100041953","Sap18b",3013,"RNA transport"
"123","100041953","Sap18b",3015,"mRNA surveillance pathway"
"124","100042150","Nrg2",1521,"EGFR tyrosine kinase inhibitor resistance"
"125","100042150","Nrg2",4012,"ErbB signaling pathway"
"126","100042150","Nrg2",5014,"Amyotrophic lateral sclerosis"
"127","100042295","Gm3776",480,"Glutathione metabolism"
"128","100042295","Gm3776",980,"Metabolism of xenobiotics by cytochrome P450"
"129","100042295","Gm3776",982,"Drug metabolism - cytochrome P450"
"130","100042295","Gm3776",983,"Drug metabolism - other enzymes"
"131","100042295","Gm3776",1100,"Metabolic pathways"
"132","100042295","Gm3776",1524,"Platinum drug resistance"
"133","100042295","Gm3776",5200,"Pathways in cancer"
"134","100042295","Gm3776",5204,"Chemical carcinogenesis"
"135","100042295","Gm3776",5225,"Hepatocellular carcinoma"
"136","100042295","Gm3776",5418,"Fluid shear stress and atherosclerosis"
"137","100042314","Gm10639",480,"Glutathione metabolism"
"138","100042314","Gm10639",980,"Metabolism of xenobiotics by cytochrome P450"
"139","100042314","Gm10639",982,"Drug metabolism - cytochrome P450"
"140","100042314","Gm10639",983,"Drug metabolism - other enzymes"
"141","100042314","Gm10639",1100,"Metabolic pathways"
"142","100042314","Gm10639",1524,"Platinum drug resistance"
"143","100042314","Gm10639",5200,"Pathways in cancer"
"144","100042314","Gm10639",5204,"Chemical carcinogenesis"
"145","100042314","Gm10639",5225,"Hepatocellular carcinoma"
"146","100042314","Gm10639",5418,"Fluid shear stress and atherosclerosis"
"147","100042493","Ccl21b",4060,"Cytokine-cytokine receptor interaction"
"148","100042493","Ccl21b",4061,"Viral protein interaction with cytokine and cytokine receptor"
"149","100042493","Ccl21b",4062,"Chemokine signaling pathway"
"150","100042493","Ccl21b",4064,"NF-kappa B signaling pathway"
"151","100042503","Ndufb4b",190,"Oxidative phosphorylation"
"152","100042503","Ndufb4b",1100,"Metabolic pathways"
"153","100042503","Ndufb4b",4714,"Thermogenesis"
"154","100042503","Ndufb4b",4723,"Retrograde endocannabinoid signaling"
"155","100042503","Ndufb4b",4932,"Non-alcoholic fatty liver disease"
"156","100042503","Ndufb4b",5010,"Alzheimer disease"
"157","100042503","Ndufb4b",5012,"Parkinson disease"
"158","100042503","Ndufb4b",5014,"Amyotrophic lateral sclerosis"
"159","100042503","Ndufb4b",5016,"Huntington disease"
"160","100042503","Ndufb4b",5020,"Prion disease"
"161","100042503","Ndufb4b",5022,"Pathways of neurodegeneration - multiple diseases"
"162","100042555","Gm13305",4060,"Cytokine-cytokine receptor interaction"
"163","100042555","Gm13305",4630,"JAK-STAT signaling pathway"
"164","100042555","Gm13305",4640,"Hematopoietic cell lineage"
"165","100042690","Olfr1565",4740,"Olfactory transduction"
"166","100042761","Tdpoz7",4340,"Hedgehog signaling pathway"
"167","100042776","Gm4027",3013,"RNA transport"
"168","100042785","Cldn25-ps",4514,"Cell adhesion molecules"
"169","100042785","Cldn25-ps",4530,"Tight junction"
"170","100042785","Cldn25-ps",4670,"Leukocyte transendothelial migration"
"171","100042785","Cldn25-ps",5160,"Hepatitis C"
"172","100042807","Eif3j2",3013,"RNA transport"
"173","100042840","H2al2b",4217,"Necroptosis"
"174","100042840","H2al2b",5034,"Alcoholism"
"175","100042840","H2al2b",5322,"Systemic lupus erythematosus"
"176","100042922","H2al1a",4217,"Necroptosis"
"177","100042922","H2al1a",5034,"Alcoholism"
"178","100042922","H2al1a",5322,"Systemic lupus erythematosus"
"179","100042927","H2al1b",4217,"Necroptosis"
"180","100042927","H2al1b",5034,"Alcoholism"
"181","100042927","H2al1b",5322,"Systemic lupus erythematosus"
