"","GeneSymbol","GeneMappingID","Group","EntrezID","Zscore","Pathway","Ntwrk.all","Allnet.count","Ntwrk.TLR","TLRnet.count","Ntwrk.PROT","PROTnet.count","Ntwrk.SPLICE","SPLICEnet.count","Ntwrk.TLR.hits","TLRhits.net.count","Ntwrk.PROT.hits","PROThits.net.count","Ntwrk.SPLICE.hits","SPLICEhits.net.count","Total_Path_Hits.net.count"
"1","A2M",192,"Novel","2",-1.982,NA,"LRP1, IL10, IL1B",3,NA,0,"IL10, IL1B",2,"IL1B",1,NA,0,NA,0,"IL1B",1,1
"2","ABI2",724,"Regulation of actin cytoskeleton","10152",0.984,NA,"BRK1, UBC, PDLIM7, NCKAP1, WASF1",5,"BRK1, NCKAP1, WASF1",3,NA,0,NA,0,"BRK1, NCKAP1, WASF1",3,NA,0,NA,0,3
"3","ACACB",234,"Novel","32",-1.036,"Propanoate metabolism","UBQLN4, PIKFYVE, OASL, RRAGA, SUN1, SPAG4, UBC, RPS27A, E2F3, IL4, UBB, ISG15",12,"PIKFYVE",1,"IL4",1,NA,0,"PIKFYVE",1,NA,0,NA,0,1
"4","ACIN1",265,"Novel","22985",-2.425,"Spliceosome ; RNA transport","SRPK2, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"5","ACKR3",768,"Cytokine-cytokine receptor interaction","57007",0.028,NA,"UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"6","ACTA2",224,"Novel","59",-1.863,NA,"CFL1, MYH9, UBC, MYH10",4,"MYH10, MYH9, CFL1",3,NA,0,NA,0,"MYH10, MYH9, CFL1",3,NA,0,NA,0,3
"7","ACTB",217,"Regulation of actin cytoskeleton","60",0.154,NA,"ACTG1, CFL1, PFN1, MYH9, CFL2, PPP1CA, ACTN2, IQGAP1, UBC",9,"IQGAP1, PPP1CA, PFN1, MYH9, CFL2, CFL1, ACTN2, ACTG1",8,NA,0,NA,0,"IQGAP1, PPP1CA, PFN1, MYH9, CFL2, CFL1, ACTN2, ACTG1",8,NA,0,NA,0,8
"8","ACTG1",225,"Regulation of actin cytoskeleton","71",-0.843,NA,"CFL1, CFL2, TRAF2, WASL, UBC, ACTB",6,"WASL, CFL2, CFL1, ACTB",4,NA,0,"TRAF2",1,"WASL, CFL2, CFL1, ACTB",4,NA,0,NA,0,4
"9","ACTN1",146,"Regulation of actin cytoskeleton","87",-0.452,NA,"UBE2I, PSMA6, GRB2, ACTN2, ACTN4, UBC",6,"ACTN2, ACTN4",2,NA,0,"GRB2",1,"ACTN2, ACTN4",2,NA,0,NA,0,2
"10","ACTN2",119,"Regulation of actin cytoskeleton","88",-0.65,NA,"ACTN4, ACTN1, UBE2I, ACTB, UBC, PSMA6",6,"ACTN1, ACTN4, ACTB",3,NA,0,NA,0,"ACTN1, ACTN4, ACTB",3,NA,0,NA,0,3
"11","ACTN4",120,"Regulation of actin cytoskeleton","81",-0.101,NA,"ACTN1, UBE2I, ACTN2, PSMA6, GRB2, UBC",6,"ACTN2, ACTN1",2,NA,0,"GRB2",1,"ACTN2, ACTN1",2,NA,0,NA,0,2
"12","ACVR1",273,"Cytokine-cytokine receptor interaction","90",0.493,NA,"BMPR2, ACVR2A, SMAD6, INHBA, SMAD1, BMP2",6,NA,0,"INHBA, BMPR2, BMP2, ACVR2A",4,NA,0,NA,0,NA,0,NA,0,0
"13","ACVR1B",270,"Cytokine-cytokine receptor interaction","91",-0.169,NA,"INHBB, ACVR2B, ACVR2A, SMAD6, SMAD4, INHBA",6,NA,0,"INHBB, INHBA, ACVR2B, ACVR2A",4,NA,0,NA,0,NA,0,NA,0,0
"14","ACVR2A",533,"Cytokine-cytokine receptor interaction","92",-0.598,NA,"ACVR1, BMP7, ACVR1B, INHBA, INHBB",5,NA,0,"INHBB, INHBA, BMP7, ACVR1B, ACVR1",5,NA,0,NA,0,"BMP7",1,NA,0,1
"15","ACVR2B",532,"Cytokine-cytokine receptor interaction","93",-0.558,NA,"INHBA, ACVR1B, BMP2",3,NA,0,"INHBA, BMP2, ACVR1B",3,NA,0,NA,0,NA,0,NA,0,0
"16","ADRB2",351,"Novel","154",-2.131,"Endocytosis","ADRBK1, UBC, ARRB2",3,NA,0,NA,0,"ARRB2",1,NA,0,NA,0,NA,0,0
"17","ADRBK1",649,"Novel","156",-1.489,"Chemokine signaling pathway ; Endocytosis","PRKCB, ADRB2, GIT1, UBC, ARRB1",5,"GIT1",1,NA,0,"PRKCB, ARRB1",2,"GIT1",1,NA,0,NA,0,1
"18","AHRR",801,"Novel","57491",-1.182,NA,"ARNT",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"19","AIRE",604,"Novel","326",-2.03,NA,"HDAC2",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"20","AKT1",188,"MAPK signaling pathway","207",0.633,NA,"SMAD4, MAP2K4, PDPK1, STK4, HSPB1, MAPK8IP1, PPM1A, GSK3A, CASP3, PAK1, UBC, RAF1, CHUK, MAPT, MAPK14, VCP, TRAF6, ARRB2, IKBKB, BRAF, PPP1CA, STUB1, STK3",23,"RAF1, PPP1CA, PAK1, BRAF",4,NA,0,"MAPK8IP1, TRAF6, STK4, STK3, MAP2K4, RAF1, PPM1A, PAK1, MAPT, IKBKB, HSPB1, MAPK14, CHUK, CASP3, BRAF, ARRB2",16,"RAF1, PPP1CA, PAK1, BRAF",4,NA,0,"IKBKB, BRAF",2,6
"21","AKT2",228,"MAPK signaling pathway","208",-0.369,NA,"PDPK1, CHUK, UBC",3,NA,0,NA,0,"CHUK",1,NA,0,NA,0,NA,0,0
"22","AKT3",696,"MAPK signaling pathway","10000",-0.412,NA,"PDPK1, CASP3",2,NA,0,NA,0,"CASP3",1,NA,0,NA,0,NA,0,0
"23","ALAS1",717,"Novel","211",-1.075,NA,"POLD4, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"24","ALCAM",730,"Novel","214",-1.913,"Cell adhesion molecules (CAMs)","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"25","ALDH3A2",792,"Novel","224",-2.21,"Lysine degradation ; Propanoate metabolism ; beta-Alanine metabolism","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"26","ANKRD32",729,"Novel","84250",-1.026,NA,"POLE",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"27","APC",187,"Regulation of actin cytoskeleton","324",0.28,NA,"SMAD4, PLA2G5, ARHGEF4, JUP, UBC",5,"ARHGEF4",1,NA,0,"PLA2G5",1,"ARHGEF4",1,NA,0,NA,0,1
"28","APOB",524,"Novel","338",-1.529,NA,"CALCR, CALR, HSP90B1, UBC, HSPA5, LDLR, VCP",7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"29","ARAF",302,"Regulation of actin cytoskeleton","369",0.872,NA,"TIRAP, RRAS, BRAF, MAP2K2, YWHAH, MAP2K1, KRAS, HRAS",8,"RRAS, MAP2K2, MAP2K1, KRAS, HRAS, BRAF",6,NA,0,"RRAS, MAP2K2, MAP2K1, KRAS, HRAS, BRAF",6,"RRAS, MAP2K2, MAP2K1, KRAS, HRAS, BRAF",6,NA,0,"KRAS, BRAF",2,8
"30","ARHGAP32",699,"Novel","9743",-1.299,NA,"CRK, RAC1, RHOA, CDC42, BCAR1",5,"BCAR1, RAC1, CRK, CDC42, RHOA",5,NA,0,"RAC1, CRK, CDC42",3,"BCAR1, RAC1, CRK, CDC42, RHOA",5,NA,0,"CDC42",1,6
"31","ARHGAP35",651,"Regulation of actin cytoskeleton","2909",-0.967,NA,"RASA1, RHOA",2,"RHOA",1,NA,0,"RASA1",1,"RHOA",1,NA,0,NA,0,1
"32","ARHGAP5",832,"Novel","394",-1.985,"Leukocyte transendothelial migration ; Focal adhesion","RHOA",1,"RHOA",1,NA,0,NA,0,"RHOA",1,NA,0,NA,0,1
"33","ARHGDIB",559,"Novel","397",-1.094,"Vasopressin-regulated water reabsorption ; Neurotrophin signaling pathway","RHOA, CASP3, RAC1, RAC2, CDC42",5,"RAC2, RAC1, CDC42, RHOA",4,NA,0,"RAC2, RAC1, CDC42, CASP3",4,"RAC2, RAC1, CDC42, RHOA",4,NA,0,"CDC42",1,5
"34","ARHGEF1",400,"Regulation of actin cytoskeleton","9138",1.953,NA,"GNA13, GNA12, UBC",3,"GNA13, GNA12",2,NA,0,"GNA12",1,"GNA13, GNA12",2,NA,0,NA,0,2
"35","ARHGEF12",399,"Regulation of actin cytoskeleton","23365",1.57,NA,"GNA13, GNA12, RHOA",3,"GNA13, GNA12, RHOA",3,NA,0,"GNA12",1,"GNA13, GNA12, RHOA",3,NA,0,NA,0,3
"36","ARHGEF4",584,"Regulation of actin cytoskeleton","50649",0.605,NA,"RAC1, APC",2,"RAC1, APC",2,NA,0,"RAC1",1,"RAC1, APC",2,NA,0,NA,0,2
"37","ARHGEF6",662,"Regulation of actin cytoskeleton","9459",-2.724,"Regulation of actin cytoskeleton ; Pancreatic cancer","CDC42, PAK1, GIT1, ARHGEF7",4,"GIT1, ARHGEF7, PAK1, CDC42",4,NA,0,"PAK1, CDC42",2,"GIT1, ARHGEF7, PAK1, CDC42",4,NA,0,"CDC42",1,5
"38","ARHGEF7",358,"Regulation of actin cytoskeleton","8874",-0.245,NA,"ARHGEF6, PAK1, UBC, GIT1, RAC1, CDC42, PAK2",7,"GIT1, ARHGEF6, RAC1, PAK2, PAK1, CDC42",6,NA,0,"RAC1, PAK2, PAK1, CDC42",4,"GIT1, ARHGEF6, RAC1, PAK2, PAK1, CDC42",6,NA,0,"CDC42",1,7
"39","ARNT",423,"Novel","405",-2.072,"Pathways in cancer ; Renal cell carcinoma","NPAS4, SIM1, AHRR, EPAS1, PTGES3",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"40","ARPC1A",503,"Regulation of actin cytoskeleton","10552",-0.695,NA,"ARPC2, ARPC3, ARPC5, ARPC4",4,"ARPC2, ARPC3, ARPC4, ARPC5",4,NA,0,NA,0,"ARPC2, ARPC3, ARPC4, ARPC5",4,NA,0,NA,0,4
"41","ARPC1B",480,"Regulation of actin cytoskeleton","10095",-1.299,"Regulation of actin cytoskeleton ; Fc gamma R-mediated phagocytosis ; Shigellosis ; Bacterial invasion of epithelial cells ; Pathogenic Escherichia coli infection","ARPC5, ARPC2, ARPC4, ARPC3, UBC, WASL",6,"ARPC2, ARPC3, ARPC4, ARPC5, WASL",5,NA,0,NA,0,"ARPC2, ARPC3, ARPC4, ARPC5, WASL",5,NA,0,NA,0,5
"42","ARPC2",76,"Regulation of actin cytoskeleton","10109",0.028,NA,"ARPC3, ARPC5, ARPC1B, ARPC1A, WASL, UBC, ARPC4",7,"ARPC1A, ARPC1B, ARPC3, ARPC4, ARPC5, WASL",6,NA,0,NA,0,"ARPC1A, ARPC1B, ARPC3, ARPC4, ARPC5, WASL",6,NA,0,NA,0,6
"43","ARPC3",77,"Regulation of actin cytoskeleton","10094",-0.339,NA,"ARPC5, ARPC1B, ARPC1A, UBC, ARPC4, ARPC2",6,"ARPC1A, ARPC2, ARPC1B, ARPC4, ARPC5",5,NA,0,NA,0,"ARPC1A, ARPC2, ARPC1B, ARPC4, ARPC5",5,NA,0,NA,0,5
"44","ARPC4",75,"Regulation of actin cytoskeleton","10093",0.599,NA,"ARPC2, ARPC3, ARPC5, ARPC1B, ARPC1A, UBC",6,"ARPC1A, ARPC2, ARPC1B, ARPC3, ARPC5",5,NA,0,NA,0,"ARPC1A, ARPC2, ARPC1B, ARPC3, ARPC5",5,NA,0,NA,0,5
"45","ARPC5",216,"Regulation of actin cytoskeleton","10092",1.477,NA,"ARPC1B, ARPC1A, ARPC4, ARPC3, ARPC2, UBC",6,"ARPC1A, ARPC2, ARPC1B, ARPC3, ARPC4",5,NA,0,NA,0,"ARPC1A, ARPC2, ARPC1B, ARPC3, ARPC4",5,NA,0,NA,0,5
"46","ARRB1",186,"MAPK signaling pathway","408",0.549,NA,"MAP3K5, CLTC, CSK, MAPK10, ADRBK1, TRAF6, ARRB2, MAPK3, MAPK1, UBC",10,"MAPK3, MAPK1, CSK",3,NA,0,"TRAF6, MAPK10, MAPK3, MAPK1, MAP3K5, ARRB2",6,"MAPK3, MAPK1, CSK",3,NA,0,NA,0,3
"47","ARRB2",137,"MAPK signaling pathway","409",-0.564,NA,"MAP3K1, ARRB1, AKT1, MAP3K5, MAP2K4, CLTC, ADRB2, MAPK10, PPM1B, MAPK1, MAPK3, UBC, TRAF6, CHUK",14,"MAPK3, MAPK1",2,NA,0,"TRAF6, MAP2K4, MAPK10, MAPK3, MAPK1, PPM1B, MAP3K5, MAP3K1, CHUK, ARRB1, AKT1",11,"MAPK3, MAPK1",2,NA,0,NA,0,2
"48","ASAP1",613,"Novel","50807",-1.461,"Endocytosis ; Fc gamma R-mediated phagocytosis","PTK2, GRB2, UBC, CRK",4,"PTK2, CRK",2,NA,0,"GRB2, CRK",2,"PTK2, CRK",2,NA,0,NA,0,2
"49","ASAP2",501,"Novel","8853",-1.057,"Endocytosis ; Fc gamma R-mediated phagocytosis","UBC, PXN",2,"PXN",1,NA,0,NA,0,"PXN",1,NA,0,NA,0,1
"50","ASF1A",543,"Novel","25842",-1.313,NA,"ATR, TAF1, ASF1B",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"51","ASF1B",290,"Novel","55723",-1.327,NA,"ASF1A, ATR, TAF1, UBC, KAT2B",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"52","ATF2",126,"MAPK signaling pathway","1386",-0.527,NA,"MAPK3, FOS, MAPK8, MAPK11, MAPK9, MAPK10, MAPK13, JUN, ATF3, MAPK1, MAPK14",11,"MAPK3, MAPK1",2,NA,0,"MAPK13, MAPK10, MAPK9, MAPK11, MAPK8, MAPK3, MAPK1, JUN, FOS, MAPK14",10,"MAPK3, MAPK1",2,NA,0,"MAPK13, JUN",2,4
"53","ATF3",104,"Novel","467",-1.17,NA,"ATF2, ATF4, JUND, DDIT3, JUN, UBC, TP53",7,NA,0,NA,0,"TP53, JUND, JUN, DDIT3, ATF2, ATF4",6,NA,0,NA,0,"JUN",1,1
"54","ATF4",133,"MAPK signaling pathway","468",1.364,NA,"FOS, DDIT3, UBC, ATF3, JUN",5,NA,0,NA,0,"JUN, FOS, DDIT3",3,NA,0,NA,0,"JUN",1,1
"55","ATP6V1B2",455,"Novel","526",-1.99,"Phagosome ; Rheumatoid arthritis ; Epithelial cell signaling in Helicobacter pylori infection","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"56","ATR",243,"Novel","545",-2.114,"Cell cycle","ASF1B, ASF1A, XPA, UBC, MSH2, RAD51, CCNB2, TP53",8,NA,0,NA,0,"TP53",1,NA,0,NA,0,NA,0,0
