"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.MAPK signaling pathway","Ntwrk.MAPK signaling pathway","NtwrkCount.Ras signaling pathway","Ntwrk.Ras signaling pathway","NtwrkCount.Chemokine signaling pathway","Ntwrk.Chemokine signaling pathway","Total_Path_Hits.net.count"
"1",2,"A2M",4695,"MedConf","Novel",NA,109,"LEFTY2, HRG, PF4, MMRN1, ABR, PLEKHG5, MCF2, ARHGEF17, FGD2, NGEF, FGD3, ARHGEF16, FGD1, FGD4, TIAM2, RHOF, RHOD, RASGRF2, PROS1, TIAM1, KALRN, NET1, RHOT2, RHOQ, RHOT1, IL1B, MCF2L, F5, VWF, TRIO, ARHGEF2, ARHGEF18, ARHGEF11, PPBP, VEGFB, ARHGEF6, EGF, SOS2, VAV3, ARHGEF12, ARHGDIG, ARHGEF3, IGF2, AKAP13, KLKB1, RHOBTB2, RHOBTB1, KLK3, GAS6, SERPINF2, GDI2, RHOJ, ARHGEF4, ARHGEF7, ARHGDIA, ARHGDIB, F13A1, KNG1, CFD, SOS1, GAB1, CLU, IGF1, APOA1, RHOU, RHOV, RAC2, C1QBP, IL10, ALDOA, SPARC, ITSN1, FN1, AMBP, MMP2, ALB, SERPINE1, LRP1, RHOB, RHOH, RHOG, TIMP1, CDC42, SERPING1, APP, ACTN4, PTPN11, GRB2, TGFB3, OBSCN, PROC, SERPINA1, RHOA, VAV2, FOXO1, TGFB1, ABCA1, GAB2, PLG, ECT2, ACTN1, MMP1, RAC3, F2, TGFB2, VAV1, STAT3, SRGN, ACTN2",4,"TGFB3, TGFB2, TGFB1, IL1B",8,"VEGFB, RASGRF2, RAC3, PTPN11, IGF1, GAB2, GAB1, EGF",13,"VAV3, VAV2, VAV1, TIAM1, STAT3, SOS2, SOS1, RHOA, RAC2, PPBP, PF4, GRB2, CDC42",25
"2",53947,"A4GALT",6297,"MedConf","Novel","Metabolic pathways",5,"B4GALT6, HEXB, HEXA, GLB1, B3GALNT1",0,NA,0,NA,0,NA,0
"3",8086,"AAAS",1600,"MedConf","Novel","RNA transport",67,"NFX1, NUPL2, NUP35, PHAX, RANBP2, U2AF1, GEMIN5, SRSF9, SNRPE, NUP188, NEK9, NUP50, ALYREF, SNRPD3, NUP210, NUP88, SRRM1, SNRPF, NUP153, SRSF7, SNRPB, SRSF1, NUP155, NXF1, GEMIN4, GEMIN2, CPSF2, NUP85, SNRPG, CDC40, TPR, NUP107, SRSF5, EIF4E, NUP133, KPNB1, SRSF4, SRSF3, MAGOH, SRSF2, SNUPN, NPM1, DDX20, NUP43, UPF3B, NUP214, GCK, SRSF6, NUP62, SLBP, DHX38, CPSF3, RAE1, GEMIN6, UBC, NCBP1, U2AF2, GCKR, NUP93, NUP160, SRSF11, NEK6, NUP54, SNRPD1, NUP205, GEMIN7, NCBP2",0,NA,0,NA,0,NA,0
"4",65985,"AACS",1652,"MedConf","Novel","Valine, leucine and isoleucine degradation",11,"HMGCL, HMGCS2, BDH1, ACAT1, OXCT1, BDH2, EHHADH, UBC, ACAT2, OXCT2, HMGCS1",0,NA,0,NA,0,NA,0
"5",51166,"AADAT",6351,"MedConf","Novel","Metabolic pathways, Tryptophan metabolism",6,"AFMID, KMO, SLC25A21, ALDH7A1, KYNU, OGDHL",0,NA,0,NA,0,NA,0
"6",14,"AAMP",8083,"HighConf","Novel",NA,3,"RPL10L, RPL10, UBC",0,NA,0,NA,0,NA,0
"7",15,"AANAT",2148,"MedConf","Novel","Metabolic pathways, Tryptophan metabolism",5,"MAOB, MAOA, DDC, YWHAZ, SFN",0,NA,0,NA,0,NA,0
"8",25980,"AAR2",7787,"MedConf","Novel",NA,13,"SNRPD1, EFTUD2, SNRNP200, LSM10, CD2BP2, DAW1, PRPF4, SART1, UBC, SNRPB, EEF2, PRPF8, PRPF6",0,NA,0,NA,0,NA,0
"9",16,"AARS",5673,"HighConf","Novel","Aminoacyl-tRNA biosynthesis",11,"ASNS, NARS, DARS, LARS, QARS, NSUN2, UBA1, GARS, FARSB, IARS, UBC",0,NA,0,NA,0,NA,0
"10",60496,"AASDHPPT",5436,"MedConf","Novel",NA,4,"COASY, FASN, USP22, UBC",0,NA,0,NA,0,NA,0
"11",18,"ABAT",2102,"MedConf","Novel","Metabolic pathways, Valine, leucine and isoleucine degradation, Alanine, aspartate and glutamate metabolism",18,"ALDH6A1, ALDH7A1, CNDP1, ALDH3A1, AOX1, ALDH3B2, CNDP2, ALDH1A3, ALDH3A2, ALDH1B1, HIBADH, UPB1, CARNS1, EHHADH, GAD2, ALDH5A1, ALDH9A1, GAD1",0,NA,0,NA,0,NA,0
"12",19,"ABCA1",4790,"MedConf","Novel",NA,24,"CHD9, SNTA1, DLG2, ARHGEF11, ARHGEF12, PPARA, HELZ2, NR1H3, CARM1, SMARCD3, RXRG, DLG3, APOA1, TBL1X, A2M, TBL1XR1, CREBBP, NCOA1, NCOA6, UBC, MED1, TGS1, NR1H2, NCOA2",0,NA,0,NA,0,NA,0
"13",20,"ABCA2",309,"MedConf","Novel",NA,14,"ABCA7, FXYD2, ATP1A4, ABCD4, ABCB6, ATP1A1, PLN, ABCF2, ATP1A3, ATP1A2, ATP1B3, ATP1B1, ABCB8, ATP12A",0,NA,0,NA,0,NA,0
"14",21,"ABCA3",8434,"MedConf","Novel",NA,1,"ESR1",0,NA,0,NA,0,NA,0
