EntrezID,GeneSymbol,ConfidenceCategory,TRIAGEhit,Pathway,InteractingGenes,NetworkGenePathways
268860,Abat,MedConf,Yes,"Valine, leucine and isoleucine degradation","Acadm, Gatm, Aldh2, Hadh, Hibadh, Pccb, Aox3","leucine and isoleucine degradation (6), Valine (6), Fatty acid degradation (3), Carbon metabolism (2), Fatty acid metabolism (2), Glyoxylate and dicarboxylate metabolism (1), PPAR signaling pathway (1)"
11303,Abca1,MedConf,Yes,,"Prkacb, Prkaca, Apoa1","Longevity regulating pathway (4), Vascular smooth muscle contraction (2), Adrenergic signaling in cardiomyocytes (2), Thyroid hormone synthesis (2), Glucagon signaling pathway (2), Melanogenesis (2), Endocrine and other factor-regulated calcium reabsorption (2), Oxytocin signaling pathway (2), Longevity regulating pathway - multiple species (2), cAMP signaling pathway (2), Insulin signaling pathway (2), GnRH signaling pathway (2), Ras signaling pathway (2), Apelin signaling pathway (2), Long-term potentiation (2), Dopaminergic synapse (2), Chemokine signaling pathway (2), MAPK signaling pathway (2), Hedgehog signaling pathway (2), Estrogen signaling pathway (2), Vasopressin-regulated water reabsorption (2), Relaxin signaling pathway (2), Wnt signaling pathway (2), Endocrine resistance (2), Oocyte meiosis (2), Retrograde endocannabinoid signaling (2), Thyroid hormone signaling pathway (2), Platelet activation (2), Tight junction (2), Autophagy - animal (2), PPAR signaling pathway (1)"
27403,Abca7,MedConf,Yes,,Apoa1,PPAR signaling pathway (1)
239273,Abcc4,MedConf,Yes,cAMP signaling pathway,,
224742,Abcf1,MedConf,Yes,,Eif2s2,RNA transport (1)
11308,Abi1,MedConf,Yes,,"Actr2, Vav3, Wipf1, Arpc2, Arpc3, Nck1, Myo10, Nckap1, Arpc1a, Arpc1b, Mapk1, Actr3, Arpc5, Abl1, Pxn, Rac1, Cdc42, Mapk3, Grb2, Cyfip1, Bcar1, Actb, Crk, Ptk2, Dock1, Wasf2, Wasl","Regulation of actin cytoskeleton (20), Fc gamma R-mediated phagocytosis (14), Focal adhesion (12), Chemokine signaling pathway (11), Endocytosis (8), Adherens junction (7), ErbB signaling pathway (7), Axon guidance (7), Leukocyte transendothelial migration (7), Neurotrophin signaling pathway (7), Rap1 signaling pathway (7), Tight junction (6), VEGF signaling pathway (6), MAPK signaling pathway (6), Ras signaling pathway (6), T cell receptor signaling pathway (6), PI3K-Akt signaling pathway (5), Fc epsilon RI signaling pathway (5), B cell receptor signaling pathway (5), Endocrine resistance (4), Insulin signaling pathway (4), GnRH signaling pathway (4), Osteoclast differentiation (4), cAMP signaling pathway (4), AGE-RAGE signaling pathway in diabetic complications (4), Oxytocin signaling pathway (3), Apoptosis (3), Thyroid hormone signaling pathway (3), Platelet activation (3), EGFR tyrosine kinase inhibitor resistance (3), Phospholipase D signaling pathway (3), Prolactin signaling pathway (3), mTOR signaling pathway (3), Estrogen signaling pathway (3), Relaxin signaling pathway (3), FoxO signaling pathway (3), Toll-like receptor signaling pathway (3), Sphingolipid signaling pathway (3), Phagosome (2), Vascular smooth muscle contraction (2), Adrenergic signaling in cardiomyocytes (2), Melanogenesis (2), Th17 cell differentiation (2), Long-term depression (2), Apelin signaling pathway (2), TNF signaling pathway (2), HIF-1 signaling pathway (2), TGF-beta signaling pathway (2), Long-term potentiation (2), NOD-like receptor signaling pathway (2), cGMP-PKG signaling pathway (2), Oocyte meiosis (2), Retrograde endocannabinoid signaling (2), Cellular senescence (2), Autophagy - animal (2), Hippo signaling pathway (1), RNA transport (1), Wnt signaling pathway (1), Cell cycle (1), Non-alcoholic fatty liver disease (NAFLD) (2)"
11350,Abl1,MedConf,Yes,"Neurotrophin signaling pathway, Axon guidance, Ras signaling pathway, Cell cycle, ErbB signaling pathway","Pxn, Mef2c, Rac1, Itgb1, Cdc42, Rapgef1, Cbl, Grb2, Cyfip1, Spag9, Abl2, Crk, Wasf2, Stat5b, Abi1, Nck1, Nckap1, Mef2a, Rac2, Ephb4, Mapk12, Bnip2, Ctnnb1, Ctnna1","Focal adhesion (9), Regulation of actin cytoskeleton (9), Leukocyte transendothelial migration (8), Rap1 signaling pathway (8), MAPK signaling pathway (7), Chemokine signaling pathway (7), Adherens junction (6), Neurotrophin signaling pathway (6), Axon guidance (6), ErbB signaling pathway (6), VEGF signaling pathway (5), T cell receptor signaling pathway (5), Ras signaling pathway (5), Fc gamma R-mediated phagocytosis (5), Fc epsilon RI signaling pathway (4), AGE-RAGE signaling pathway in diabetic complications (4), Insulin signaling pathway (4), Wnt signaling pathway (3), Prolactin signaling pathway (3), GnRH signaling pathway (3), Osteoclast differentiation (3), Sphingolipid signaling pathway (3), B cell receptor signaling pathway (3), PI3K-Akt signaling pathway (3), Tight junction (3), Hippo signaling pathway (2), Toll-like receptor signaling pathway (2), Th17 cell differentiation (2), Relaxin signaling pathway (2), Endocrine resistance (2), FoxO signaling pathway (2), Platelet activation (2), cAMP signaling pathway (2), Apelin signaling pathway (2), cGMP-PKG signaling pathway (2), Endocytosis (2), Phagosome (2), Melanogenesis (1), Thyroid hormone signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), TNF signaling pathway (1), Dopaminergic synapse (1), NOD-like receptor signaling pathway (1), Oocyte meiosis (1), Retrograde endocannabinoid signaling (1), Cellular senescence (1), Necroptosis (1), RNA transport (1), EGFR tyrosine kinase inhibitor resistance (1), Phospholipase D signaling pathway (1), mTOR signaling pathway (1), Estrogen signaling pathway (1), Ubiquitin mediated proteolysis (1), Oxytocin signaling pathway (1), Non-alcoholic fatty liver disease (NAFLD) (2)"
11352,Abl2,MedConf,Yes,"Ras signaling pathway, ErbB signaling pathway","Crk, Rac2, Sema6a, Abl1, Rac1","Axon guidance (4), Ras signaling pathway (3), Chemokine signaling pathway (3), Neurotrophin signaling pathway (3), MAPK signaling pathway (3), Rap1 signaling pathway (3), Fc gamma R-mediated phagocytosis (3), Focal adhesion (3), Regulation of actin cytoskeleton (3), Fc epsilon RI signaling pathway (2), VEGF signaling pathway (2), cAMP signaling pathway (2), B cell receptor signaling pathway (2), Wnt signaling pathway (2), Leukocyte transendothelial migration (2), Adherens junction (2), Sphingolipid signaling pathway (2), ErbB signaling pathway (2), Toll-like receptor signaling pathway (1), Osteoclast differentiation (1), Phagosome (1), AGE-RAGE signaling pathway in diabetic complications (1), PI3K-Akt signaling pathway (1), Tight junction (1), Cell cycle (1), Insulin signaling pathway (1), Non-alcoholic fatty liver disease (NAFLD) (1)"
113868,Acaa1a,MedConf,Yes,"Fatty acid metabolism, PPAR signaling pathway, Fatty acid degradation, Valine, leucine and isoleucine degradation, Biosynthesis of unsaturated fatty acids","Hadh, Acaa1b, Acadsb, Pccb, Dlst, Acadm, Acox1, Hmgcs2, Acly, Hadha, Hsd17b10, Acadl, Hsd17b4, Acat1","leucine and isoleucine degradation (9), Valine (9), Fatty acid degradation (8), Fatty acid metabolism (8), Carbon metabolism (5), PPAR signaling pathway (5), Biosynthesis of unsaturated fatty acids (3), Glyoxylate and dicarboxylate metabolism (2), cAMP signaling pathway (1), Citrate cycle (TCA cycle) (2)"
235674,Acaa1b,MedConf,Yes,"Fatty acid metabolism, PPAR signaling pathway, Fatty acid degradation, Valine, leucine and isoleucine degradation, Biosynthesis of unsaturated fatty acids","Acadsb, Pccb, Dlst, Acadm, Acox1, Hmgcs2, Acly, Hadha, Hsd17b10, Acadl, Acat1, Acaa1a, Hadh","leucine and isoleucine degradation (9), Valine (9), Fatty acid degradation (8), Fatty acid metabolism (8), PPAR signaling pathway (5), Carbon metabolism (5), Biosynthesis of unsaturated fatty acids (3), Glyoxylate and dicarboxylate metabolism (2), cAMP signaling pathway (1), Citrate cycle (TCA cycle) (2)"
