"","EntrezID","GeneSymbol","PathwayID","PathwayName"
"1","100037258","Dnajc3",5164,"Influenza A"
"2","100038882","Isg15",5165,"Human papillomavirus infection"
"3","100039319","Gm14920",5034,"Alcoholism"
"4","100039319","Gm14920",5322,"Systemic lupus erythematosus"
"5","100039801","Cldn24",5160,"Hepatitis C"
"6","100039815","Gm2436",5165,"Human papillomavirus infection"
"7","100039830","Gm2446",5165,"Human papillomavirus infection"
"8","100040233","Gm10334",5164,"Influenza A"
"9","100041230","Hist1h4m",5034,"Alcoholism"
"10","100041230","Hist1h4m",5203,"Viral carcinogenesis"
"11","100041230","Hist1h4m",5322,"Systemic lupus erythematosus"
"12","100041273","Gm3244",5010,"Alzheimer's disease"
"13","100041273","Gm3244",5012,"Parkinson's disease"
"14","100041273","Gm3244",5016,"Huntington's disease"
"15","100041375","Cyp3a41b",5204,"Chemical carcinogenesis"
"16","100042025","Gapdh-ps15",5010,"Alzheimer's disease"
"17","100042355","Gm10705",5012,"Parkinson's disease"
"18","100042503","Gm3873",5010,"Alzheimer's disease"
"19","100042503","Gm3873",5012,"Parkinson's disease"
"20","100042503","Gm3873",5016,"Huntington's disease"
"21","100042840","H2al2b",5034,"Alcoholism"
"22","100042840","H2al2b",5322,"Systemic lupus erythematosus"
"23","100042922","H2al1a",5034,"Alcoholism"
"24","100042922","H2al1a",5322,"Systemic lupus erythematosus"
"25","100042927","H2al1b",5034,"Alcoholism"
"26","100042927","H2al1b",5322,"Systemic lupus erythematosus"
"27","100042929","H2al1c",5034,"Alcoholism"
"28","100042929","H2al1c",5322,"Systemic lupus erythematosus"
"29","100042931","H2al1d",5034,"Alcoholism"
"30","100042931","H2al1d",5322,"Systemic lupus erythematosus"
"31","100042939","H2al1f",5034,"Alcoholism"
"32","100042939","H2al1f",5322,"Systemic lupus erythematosus"
"33","100042943","H2al1g",5034,"Alcoholism"
"34","100042943","H2al1g",5322,"Systemic lupus erythematosus"
"35","100042944","H2al1h",5034,"Alcoholism"
"36","100042944","H2al1h",5322,"Systemic lupus erythematosus"
"37","100042946","H2al1i",5034,"Alcoholism"
"38","100042946","H2al1i",5322,"Systemic lupus erythematosus"
"39","100043292","Gm4340",5168,"Herpes simplex infection"
"40","100043507","Gm15776",5032,"Morphine addiction"
"41","100043507","Gm15776",5034,"Alcoholism"
"42","100043507","Gm15776",5167,"Kaposi's sarcoma-associated herpesvirus infection"
"43","100043507","Gm15776",5200,"Pathways in cancer"
"44","100043674","Gm9840",5200,"Pathways in cancer"
"45","100043674","Gm9840",5211,"Renal cell carcinoma"
"46","100049549","Mir181d",5206,"MicroRNAs in cancer"
"47","100101919","Dnah7c",5016,"Huntington's disease"
"48","100124432","Mir193b",5206,"MicroRNAs in cancer"
"49","100126824","Sco2",5230,"Central carbon metabolism in cancer"
"50","100316783","Mir1b",5206,"MicroRNAs in cancer"
"51","100434","Slc44a1",5231,"Choline metabolism in cancer"
"52","100503605","Hbb-bs",5143,"African trypanosomiasis"
"53","100503605","Hbb-bs",5144,"Malaria"
"54","100503710","Gm5741",5032,"Morphine addiction"
"55","100503710","Gm5741",5034,"Alcoholism"
"56","100503710","Gm5741",5167,"Kaposi's sarcoma-associated herpesvirus infection"
"57","100503710","Gm5741",5200,"Pathways in cancer"
"58","100504404","H2-Ea-ps",5140,"Leishmaniasis"
"59","100504404","H2-Ea-ps",5145,"Toxoplasmosis"
"60","100504404","H2-Ea-ps",5150,"Staphylococcus aureus infection"
"61","100504404","H2-Ea-ps",5152,"Tuberculosis"
"62","100504404","H2-Ea-ps",5164,"Influenza A"
"63","100504404","H2-Ea-ps",5166,"HTLV-I infection"
"64","100504404","H2-Ea-ps",5168,"Herpes simplex infection"
"65","100504404","H2-Ea-ps",5310,"Asthma"
"66","100504404","H2-Ea-ps",5320,"Autoimmune thyroid disease"
"67","100504404","H2-Ea-ps",5321,"Inflammatory bowel disease (IBD)"
"68","100504404","H2-Ea-ps",5322,"Systemic lupus erythematosus"
"69","100504404","H2-Ea-ps",5323,"Rheumatoid arthritis"
"70","100504404","H2-Ea-ps",5330,"Allograft rejection"
"71","100504404","H2-Ea-ps",5332,"Graft-versus-host disease"
"72","100504404","H2-Ea-ps",5416,"Viral myocarditis"
"73","100504663","Atg14",5167,"Kaposi's sarcoma-associated herpesvirus infection"
"74","100529082","Gm11127",5165,"Human papillomavirus infection"
"75","100529082","Gm11127",5166,"HTLV-I infection"
"76","100529082","Gm11127",5167,"Kaposi's sarcoma-associated herpesvirus infection"
"77","100529082","Gm11127",5168,"Herpes simplex infection"
"78","100529082","Gm11127",5169,"Epstein-Barr virus infection"
"79","100529082","Gm11127",5203,"Viral carcinogenesis"
"80","100529082","Gm11127",5320,"Autoimmune thyroid disease"
"81","100529082","Gm11127",5330,"Allograft rejection"
"82","100529082","Gm11127",5332,"Graft-versus-host disease"
"83","100529082","Gm11127",5416,"Viral myocarditis"
"84","100559","Ugt2b38",5204,"Chemical carcinogenesis"
"85","100628567","Mir28c",5206,"MicroRNAs in cancer"
"86","100628572","Mir101c",5206,"MicroRNAs in cancer"
"87","100683","Trrap",5166,"HTLV-I infection"
"88","100727","Ugt2b34",5204,"Chemical carcinogenesis"
"89","100862456","LOC100862456",5016,"Huntington's disease"
"90","100862456","LOC100862456",5169,"Epstein-Barr virus infection"
"91","101206","Tada3",5165,"Human papillomavirus infection"
